Session,Window,T0_sec,T1_sec,Tmid_sec,Channel,Exponent,Offset
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,Oz,0.1949637943571787,1.0919609514418485
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,O2,0.2797352071375719,1.2481986915851866
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,PO10,0.2234216159652898,1.1151832342225676
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,P8,0.29903086078868163,1.320620307777741
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,P4,0.49100884690935676,1.4769975671001403
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,CP2,0.5317336832048786,1.189707517136386
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,CP6,0.4059130726456038,1.3816559997578335
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,T8,0.23838280911541518,1.253804522912302
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,FT10,0.5703316476220331,1.4529202311327867
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,FC6,0.4241221782106507,1.35356725094832
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,C4,0.45166927989043415,1.3940814864675062
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,FC2,0.514114860981342,1.3113462641535218
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,F4,0.4847041324402285,1.4062861717143362
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,F8,1.1803038679371352,2.370128395384998
PLANT_KINGDOM_OUTDOOR,1,5.0,25.0,15.0,Fp2,0.6256902903383031,1.6481915604011448
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,Cz,0.5089734874703116,1.470111117454979
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,Fz,0.5017892151707235,1.3585853129245642
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,Fp1,0.7646419323618799,1.8191035895707355
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,F7,0.48493902012729106,1.2873021860422285
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,F3,0.40734727788182956,1.1985112335836947
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,FC1,0.3225409522650226,0.9167524516855757
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,C3,0.2674559760280222,0.9696484859933459
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,FC5,0.2626600452882245,0.9970515999334502
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,FT9,0.36885897637574383,0.9950631724016843
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,T7,-0.03697575538941088,0.5997664877040698
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,CP5,0.10939173409334166,0.7656513444900469
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,CP1,0.24235856602546724,0.9145326972541162
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,P3,0.198555789091221,0.9788536688255162
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,P7,-0.1978682023870651,0.37389620772118937
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,PO9,-0.2274131738050844,0.4761244423747146
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,O1,0.03237440700850394,0.9224872074206908
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,Pz,0.20575803195017936,0.8120592610033901
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,Oz,0.17372120185858905,1.04843300964258
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,O2,0.24274838553965772,1.1737468303322676
PLANT_KINGDOM_OUTDOOR,2,10.0,30.0,20.0,PO10,0.18724605095711938,1.0396703696751541
