Time,v_l2,threshold
2025-10-31 17:27:52.124870062,26.952390206074206,25.500431284677365
2025-10-31 17:27:52.249759912,27.344477028615763,25.500431284677365
2025-10-31 17:27:53.999650002,27.227739374573805,25.500431284677365
2025-10-31 17:27:54.124650002,27.03448965072883,25.500431284677365
2025-10-31 17:27:54.624619961,27.369509758362625,25.500431284677365
2025-10-31 17:27:54.749510050,28.93734210844353,25.500431284677365
2025-10-31 17:28:14.373110056,26.90421413747668,25.500431284677365
2025-10-31 17:28:14.497999907,29.56255419467203,25.500431284677365
2025-10-31 17:28:14.622999907,27.87754313408421,25.500431284677365
2025-10-31 17:28:15.498039961,26.821092679930576,25.500431284677365
2025-10-31 17:28:15.623039961,30.300733319503568,25.500431284677365
2025-10-31 17:28:15.997910023,26.528503987218272,25.500431284677365
2025-10-31 17:28:16.122999907,39.6218395187856,25.500431284677365
2025-10-31 17:28:16.247800112,43.78082945202029,25.500431284677365
2025-10-31 17:28:16.372889996,38.54585342706756,25.500431284677365
2025-10-31 17:28:16.497879982,29.51853182246322,25.500431284677365
2025-10-31 17:28:37.996370077,26.187230181851728,25.500431284677365
2025-10-31 17:28:47.745670080,26.119461466422827,25.500431284677365
2025-10-31 17:28:48.495830059,25.848545747623564,25.500431284677365
2025-10-31 17:28:49.995340109,26.560934395674902,25.500431284677365
2025-10-31 17:29:24.867810011,34.40632928473588,25.500431284677365
2025-10-31 17:29:24.992799997,38.52463428219643,25.500431284677365
2025-10-31 17:29:25.117789984,34.253801193537,25.500431284677365
2025-10-31 17:29:25.617860079,28.72331274854284,25.500431284677365
2025-10-31 17:29:25.742759943,32.33191026958862,25.500431284677365
2025-10-31 17:29:25.867749929,28.88623313906783,25.500431284677365
