Time,v_l2,threshold
2025-10-05 16:13:20.819689989,26.971100620193056,26.173713599773468
2025-10-05 16:13:24.444469929,43.71908793111168,26.173713599773468
2025-10-05 16:13:24.569560051,69.05939537633151,26.173713599773468
2025-10-05 16:13:24.694560051,85.34993661983603,26.173713599773468
2025-10-05 16:13:24.819550037,78.3118472476011,26.173713599773468
2025-10-05 16:13:24.944540024,46.91046094906871,26.173713599773468
2025-10-05 16:13:25.194430113,50.06891334558351,26.173713599773468
2025-10-05 16:13:25.319420099,80.2567269759202,26.173713599773468
2025-10-05 16:13:25.444410086,84.32697244202467,26.173713599773468
2025-10-05 16:13:25.569400072,66.27270451916021,26.173713599773468
2025-10-05 16:13:25.694499969,38.52740363394484,26.173713599773468
2025-10-05 16:13:54.442240000,27.759555204844155,26.173713599773468
