t_mid_s,Time_mid,Session,Band,Region,Entropy,n_ch
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Alpha,Frontal,0.9890158365173481,11
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Alpha,Temporal,0.972242215047614,4
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Alpha,Central,0.916472273310556,3
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Alpha,Parietal,0.9436786969069929,9
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Alpha,Occipital,0.9566514734014374,5
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,BetaL,Frontal,0.9951386124488872,11
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,BetaL,Temporal,0.9535917262431746,4
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,BetaL,Central,0.942606807926865,3
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,BetaL,Parietal,0.9748933716705994,9
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,BetaL,Occipital,0.9688879932478277,5
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,BetaH,Frontal,0.99209314413319,11
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,BetaH,Temporal,0.9109627725783298,4
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,BetaH,Central,0.9337055424570577,3
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,BetaH,Parietal,0.94679014139263,9
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,BetaH,Occipital,0.9561869754535888,5
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Gamma,Frontal,0.9643121880556671,11
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Gamma,Temporal,0.9614712875910449,4
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Gamma,Central,0.9409310792367334,3
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Gamma,Parietal,0.9621827352550347,9
15.0,2025-10-05 16:12:55.821520090,BASELINE_EC,Gamma,Occipital,0.9256505539205667,5
