Session_slope,Region,t_mid_s_slope,Exponent_median,Offset_median,t_key,t_mid_s_ent,Time_mid,Session_ent,Band,Entropy,n_ch,t_mid_s
PLANT_KINGDOM_INDOOR,central,10.0,1.244976999732469,2.052417944108533,2,10.0,2025-10-31 17:27:41.375829935,PLANT_KINGDOM_INDOOR,theta,0.9746559573903624,3,10.0
PLANT_KINGDOM_INDOOR,central,10.0,1.244976999732469,2.052417944108533,2,10.0,2025-10-31 17:27:41.375829935,PLANT_KINGDOM_INDOOR,theta,0.8783696773505203,4,10.0
PLANT_KINGDOM_INDOOR,central,15.0,1.2611154500266593,2.085498592734367,3,15.0,2025-10-31 17:27:46.375420094,PLANT_KINGDOM_INDOOR,theta,0.8837307505803472,4,15.0
PLANT_KINGDOM_INDOOR,central,15.0,1.2611154500266593,2.085498592734367,3,15.0,2025-10-31 17:27:46.375420094,PLANT_KINGDOM_INDOOR,theta,0.9806655171613416,3,15.0
PLANT_KINGDOM_INDOOR,central,20.0,1.315525084682856,2.1721400253630554,4,20.0,2025-10-31 17:27:51.374910116,PLANT_KINGDOM_INDOOR,theta,0.8761374157739867,4,20.0
PLANT_KINGDOM_INDOOR,central,20.0,1.315525084682856,2.1721400253630554,4,20.0,2025-10-31 17:27:51.374910116,PLANT_KINGDOM_INDOOR,theta,0.9789316335656296,3,20.0
PLANT_KINGDOM_INDOOR,central,25.0,1.3369803665665778,2.207609775202857,5,25.0,2025-10-31 17:27:56.374510050,PLANT_KINGDOM_INDOOR,theta,0.8608025846328108,4,25.0
PLANT_KINGDOM_INDOOR,central,25.0,1.3369803665665778,2.207609775202857,5,25.0,2025-10-31 17:27:56.374510050,PLANT_KINGDOM_INDOOR,theta,0.9714835826174724,3,25.0
PLANT_KINGDOM_INDOOR,central,30.0,1.3004180437549995,2.193226731706471,6,30.0,2025-10-31 17:28:01.374200106,PLANT_KINGDOM_INDOOR,theta,0.8471978905249457,4,30.0
PLANT_KINGDOM_INDOOR,central,30.0,1.3004180437549995,2.193226731706471,6,30.0,2025-10-31 17:28:01.374200106,PLANT_KINGDOM_INDOOR,theta,0.9642680231083078,3,30.0
PLANT_KINGDOM_INDOOR,central,35.0,1.3051226271861711,2.1762314399252434,7,35.0,2025-10-31 17:28:06.373800039,PLANT_KINGDOM_INDOOR,theta,0.8909449329687036,4,35.0
PLANT_KINGDOM_INDOOR,central,35.0,1.3051226271861711,2.1762314399252434,7,35.0,2025-10-31 17:28:06.373800039,PLANT_KINGDOM_INDOOR,theta,0.978964230782436,3,35.0
PLANT_KINGDOM_INDOOR,central,40.0,1.3619570829442915,2.236375891588957,8,40.0,2025-10-31 17:28:11.373589993,PLANT_KINGDOM_INDOOR,theta,0.947717838847038,4,40.0
PLANT_KINGDOM_INDOOR,central,40.0,1.3619570829442915,2.236375891588957,8,40.0,2025-10-31 17:28:11.373589993,PLANT_KINGDOM_INDOOR,theta,0.987393560451104,3,40.0
PLANT_KINGDOM_INDOOR,central,45.0,1.3147628659668427,2.1936019566098466,9,45.0,2025-10-31 17:28:16.372889996,PLANT_KINGDOM_INDOOR,theta,0.8836969698264662,4,45.0
