Time,Band,v_cos
2025-10-30 13:49:10.586649895,Theta,0.011275916327732949
2025-10-30 13:49:10.711630106,Theta,0.021601195219410285
2025-10-30 13:49:10.836600065,Theta,0.018434795708160978
2025-10-30 13:49:10.961380005,Theta,0.008901182166082489
2025-10-30 13:49:11.086159945,Theta,0.0077969800423388635
2025-10-30 13:49:11.211030006,Theta,0.0055249577134832695
2025-10-30 13:49:11.336110115,Theta,0.0034158513609000574
2025-10-30 13:49:11.461189985,Theta,0.0052627608272466375
2025-10-30 13:49:11.586070061,Theta,0.007141913528335708
2025-10-30 13:49:11.711139917,Theta,0.005622237121387319
2025-10-30 13:49:11.836019993,Theta,0.002959575951132276
2025-10-30 13:49:11.961100101,Theta,0.0015193874044868716
2025-10-30 13:49:12.086270094,Theta,0.001784473070443937
2025-10-30 13:49:12.211250067,Theta,0.003604820467262626
2025-10-30 13:49:12.336430073,Theta,0.006129187226173061
2025-10-30 13:49:12.461199999,Theta,0.006775788758603185
2025-10-30 13:49:12.586280107,Theta,0.004162839559771259
2025-10-30 13:49:12.711450100,Theta,0.002250032376664435
2025-10-30 13:49:12.836440086,Theta,0.002074728247661528
2025-10-30 13:49:12.961420059,Theta,0.0038243849295921395
2025-10-30 13:49:13.086410046,Theta,0.01008459024583952
2025-10-30 13:49:13.211390018,Theta,0.017357586973303585
2025-10-30 13:49:13.336380005,Theta,0.015549550939901291
2025-10-30 13:49:13.461359978,Theta,0.007509149896547607
2025-10-30 13:49:13.586440086,Theta,0.00284412994896055
2025-10-30 13:49:13.711220026,Theta,0.003586022831913005
2025-10-30 13:49:13.836090088,Theta,0.006851170137167628
2025-10-30 13:49:13.961070061,Theta,0.008211505489189808
2025-10-30 13:49:14.086050034,Theta,0.007570039831743758
2025-10-30 13:49:14.210920095,Theta,0.0071390981279462196
2025-10-30 13:49:14.335999966,Theta,0.00630937573341539
2025-10-30 13:49:14.461070061,Theta,0.005248611744520515
2025-10-30 13:49:14.586050034,Theta,0.003637238624252137
2025-10-30 13:49:14.710930109,Theta,0.001651923839743441
2025-10-30 13:49:14.835799932,Theta,0.001190464258945645
2025-10-30 13:49:14.960779905,Theta,0.0020213769233924372
2025-10-30 13:49:15.085760117,Theta,0.0023517183046400936
2025-10-30 13:49:15.210730076,Theta,0.0016030284021919528
2025-10-30 13:49:15.335710049,Theta,0.0010546257930824643
2025-10-30 13:49:15.460589886,Theta,0.0014373941393992506
2025-10-30 13:49:15.585659981,Theta,0.0024209096931356866
2025-10-30 13:49:15.710740089,Theta,0.0028243292509212425
2025-10-30 13:49:15.835720062,Theta,0.002321803352315688
2025-10-30 13:49:15.960599899,Theta,0.0023866720246545903
2025-10-30 13:49:16.085669994,Theta,0.003948017879629284
2025-10-30 13:49:16.210550070,Theta,0.004806977692418668
2025-10-30 13:49:16.335619926,Theta,0.003917982770950901
2025-10-30 13:49:16.460599899,Theta,0.0031196532973067903
2025-10-30 13:49:16.585580111,Theta,0.002371409681799941
2025-10-30 13:49:16.710449934,Theta,0.0018233395915202566
2025-10-30 13:49:16.835330009,Theta,0.0017089960797621595
2025-10-30 13:49:16.960510015,Theta,0.0022742345174203704
2025-10-30 13:49:17.085580111,Theta,0.004153622491171238
2025-10-30 13:49:17.210360050,Theta,0.008630701338258606
2025-10-30 13:49:17.335439920,Theta,0.016740624999223908
2025-10-30 13:49:17.460410118,Theta,0.020071282373803734
2025-10-30 13:49:17.585390091,Theta,0.012757176074343457
2025-10-30 13:49:17.710360050,Theta,0.005669336738615471
2025-10-30 13:49:17.835340023,Theta,0.0024662216218508393
2025-10-30 13:49:17.960419893,Theta,0.0018019986729218562
2025-10-30 13:49:18.085489988,Theta,0.0030416335613977497
2025-10-30 13:49:18.210370064,Theta,0.005200963625039856
2025-10-30 13:49:18.335449934,Theta,0.005178366669659984
2025-10-30 13:49:18.460319996,Theta,0.003298652835138416
2025-10-30 13:49:18.585400105,Theta,0.002710217445567209
2025-10-30 13:49:18.710279942,Theta,0.003423136410745431
2025-10-30 13:49:18.835249901,Theta,0.0038983147505674554
2025-10-30 13:49:18.960429907,Theta,0.003513235958088612
2025-10-30 13:49:19.085410118,Theta,0.0034470763305701757
2025-10-30 13:49:19.210279942,Theta,0.007300353226838419
2025-10-30 13:49:19.335459948,Theta,0.010855382624616716
2025-10-30 13:49:19.460540056,Theta,0.0068540140673371
2025-10-30 13:49:19.585710049,Theta,0.002013325847853631
2025-10-30 13:49:19.710890055,Theta,0.0010876581911486438
2025-10-30 13:49:19.835669994,Theta,0.00201723606173021
2025-10-30 13:49:19.960639954,Theta,0.00322446646758201
2025-10-30 13:49:20.085520029,Theta,0.004176634039502192
2025-10-30 13:49:20.210200071,Theta,0.004438449172838532
2025-10-30 13:49:20.335170031,Theta,0.004209877139270013
2025-10-30 13:49:20.459949970,Theta,0.005161622032786584
2025-10-30 13:49:20.585330009,Theta,0.005467376253813994
2025-10-30 13:49:20.710099936,Theta,0.0027733554071479594
2025-10-30 13:49:20.835079908,Theta,0.0027095616659464916
2025-10-30 13:49:20.959959984,Theta,0.006139018795888851
2025-10-30 13:49:21.085030079,Theta,0.008544545453808117
2025-10-30 13:49:21.210109949,Theta,0.008129294453530167
2025-10-30 13:49:21.335190058,Theta,0.005363819038208595
2025-10-30 13:49:21.460160017,Theta,0.0021683971822266113
2025-10-30 13:49:21.585139990,Theta,0.0024275232000376956
2025-10-30 13:49:21.710319996,Theta,0.008151185600126842
2025-10-30 13:49:21.835089922,Theta,0.011346094947111252
2025-10-30 13:49:21.960170031,Theta,0.00695840501131495
2025-10-30 13:49:22.085150003,Theta,0.004194260790964521
2025-10-30 13:49:22.210119963,Theta,0.0034232294473646174
2025-10-30 13:49:22.335099936,Theta,0.003804337953380088
2025-10-30 13:49:22.460180044,Theta,0.00706105938561763
2025-10-30 13:49:22.585350037,Theta,0.009422965718329235
2025-10-30 13:49:22.710230112,Theta,0.0068156710902832485
2025-10-30 13:49:22.835109949,Theta,0.003247406095136629
2025-10-30 13:49:22.960180044,Theta,0.002109433085402568
2025-10-30 13:49:23.085360050,Theta,0.0024670594452693706
2025-10-30 13:49:23.210540056,Theta,0.0029570781728067708
2025-10-30 13:49:23.335520029,Theta,0.0032547144838021014
2025-10-30 13:49:23.460489988,Theta,0.003248905243889877
2025-10-30 13:49:23.585269928,Theta,0.003869315861132483
2025-10-30 13:49:23.710150003,Theta,0.007106019283278253
2025-10-30 13:49:23.835220098,Theta,0.009795441999203347
2025-10-30 13:49:23.960099936,Theta,0.005876435464034047
2025-10-30 13:49:24.085180044,Theta,0.0031254559725714115
2025-10-30 13:49:24.210150003,Theta,0.0025631341310488054
2025-10-30 13:49:24.335230112,Theta,0.001786355244225657
2025-10-30 13:49:24.460109949,Theta,0.001237886542710176
2025-10-30 13:49:24.585190058,Theta,0.0010392204526430415
2025-10-30 13:49:24.710360050,Theta,0.0011708556836276252
2025-10-30 13:49:24.835540056,Theta,0.001822166470426767
2025-10-30 13:49:24.960520029,Theta,0.0030442646744659463
2025-10-30 13:49:25.085489988,Theta,0.0037705830033921695
2025-10-30 13:49:25.210570097,Theta,0.0028673014467617275
2025-10-30 13:49:25.335649967,Theta,0.0023955658390251156
2025-10-30 13:49:25.460619926,Theta,0.0026458316374607938
2025-10-30 13:49:25.585500002,Theta,0.0026744286083290048
2025-10-30 13:49:25.710680008,Theta,0.002728329830590903
2025-10-30 13:49:25.835550070,Theta,0.0043446092776556755
2025-10-30 13:49:25.960429907,Theta,0.010807089064916564
2025-10-30 13:49:26.085309982,Theta,0.035125255382235765
2025-10-30 13:49:26.209889889,Theta,0.06026573397500867
2025-10-30 13:49:26.334860086,Theta,0.021502998732431555
2025-10-30 13:49:26.459939957,Theta,0.006995755459323072
2025-10-30 13:49:26.585020065,Theta,0.004804414714727923
2025-10-30 13:49:26.709889889,Theta,0.006518935649668101
2025-10-30 13:49:26.834969997,Theta,0.008948223466330618
2025-10-30 13:49:26.959949970,Theta,0.012114200457775226
2025-10-30 13:49:27.085030079,Theta,0.013585349946935388
2025-10-30 13:49:27.209899902,Theta,0.016166569980957446
2025-10-30 13:49:27.334880114,Theta,0.013993205638228368
2025-10-30 13:49:27.459559917,Theta,0.014032283822458025
2025-10-30 13:49:27.584530115,Theta,0.029242935941169
2025-10-30 13:49:27.709310055,Theta,0.03760354479661965
2025-10-30 13:49:27.834389925,Theta,0.005865647962058906
2025-10-30 13:49:27.959559917,Theta,0.0016941332545705734
