Session,Path,n_time,n_dim,L2_Flux_mean_per_s,L2_Flux_median_per_s,L2_Flux_p25_per_s,L2_Flux_p75_per_s,L2_Flux_IQR_per_s,L2_n_steps,L2_dt_s,COS_Flux_mean_per_s,COS_Flux_median_per_s,COS_Flux_p25_per_s,COS_Flux_p75_per_s,COS_Flux_IQR_per_s,COS_n_steps,COS_dt_s,REG_L2_Flux_mean_per_s,REG_L2_Flux_median_per_s,REG_L2_Flux_p25_per_s,REG_L2_Flux_p75_per_s,REG_L2_Flux_IQR_per_s,REG_L2_n_steps,REG_L2_dt_s,REG_COS_Flux_mean_per_s,REG_COS_Flux_median_per_s,REG_COS_Flux_p25_per_s,REG_COS_Flux_p75_per_s,REG_COS_Flux_IQR_per_s,REG_COS_n_steps,REG_COS_dt_s
BASELINE_EC,A:\EEG Recordings\EEG\Hemi-Sync-Outside-Inner-Earth\2025-10-30-INNER-EARTH-OUTSIDE-TREE-SOIL-EARTH\Excel\BASELINES\BASELINE_FULL_2025-10-05-XLSX-resting_eyes_closed.xlsx,1123,160,79.29039960602594,70.04518616769211,48.7506419406106,95.2044075830831,46.4537656424725,1122,0.124989987,0.05466083686386567,0.037624948072708136,0.022462207982117104,0.061901832099798014,0.039439624117680906,1122,0.124989987,30.321331837555995,27.138806491672604,17.9505953437385,38.71151870590977,20.760923362171273,1122,0.124989987,0.042343383247696306,0.02974087353462942,0.01630555933621047,0.05443357977417399,0.03812802043796352,1122,0.124989987
PLANT_KINGDOM_INDOOR,A:\EEG Recordings\EEG\Hemi-Sync-Outside-Inner-Earth\2025-10-30-INNER-EARTH-OUTSIDE-TREE-SOIL-EARTH\Excel\PLANT_KINGDOM_INDOOR\FULL_PLANT-KINGDOM-INDOOR_XLSX-31-10-2025-FOCUS-INNER-EARTH.xlsx,1123,160,84.94257885812206,73.41349636182407,57.04777308954795,100.58320532858117,43.53543223903322,1122,0.124989987,0.04557120704277564,0.04081879541884265,0.026279475349514317,0.05830468530006573,0.032025209950551414,1122,0.124989987,34.83388692292171,29.18124560446465,21.738902797169832,40.79005911336695,19.051156316197122,1122,0.124989987,0.04403095494824432,0.03566571590771309,0.021970262496900084,0.05665645496954764,0.03468619247264755,1122,0.124989987
PLANT_KINGDOM_OUTDOOR,A:\EEG Recordings\EEG\Hemi-Sync-Outside-Inner-Earth\2025-10-30-INNER-EARTH-OUTSIDE-TREE-SOIL-EARTH\Excel\PLANT_KINGDOM_OUTDOOR\FULL_PLANT-KINGDOM-OUTDOOR_XLSX-30-10-2025-FOCUS-ORIGINAL-INNER-EARTH.xlsx,1123,160,55.19548690665728,44.52718082077574,33.32901438608938,64.72079439246706,31.391780006377676,1122,0.124979973,0.05226588446352736,0.04451910576809558,0.028510724459980367,0.06524959388119621,0.03673886942121583,1122,0.124979973,20.55624478645342,17.67070447914117,12.943858676202963,24.98718313456635,12.043324458363388,1122,0.124979973,0.04456708264939088,0.037007332753775955,0.023907086293000073,0.05704450025265306,0.033137413959652987,1122,0.124979973
