Time,v_l2_regional
2025-10-30 13:49:10.586649895,2.6499659889659912
2025-10-30 13:49:10.711630106,2.052613818493447
2025-10-30 13:49:10.836600065,1.544549155513916
2025-10-30 13:49:10.961380005,1.589576118568406
2025-10-30 13:49:11.086159945,1.5627869596730863
2025-10-30 13:49:11.211030006,1.334899924295919
2025-10-30 13:49:11.336110115,1.5349946376641677
2025-10-30 13:49:11.461189985,1.2004831558416387
2025-10-30 13:49:11.586070061,1.6965663831842095
2025-10-30 13:49:11.711139917,2.001254932982552
2025-10-30 13:49:11.836019993,1.506745382987368
2025-10-30 13:49:11.961100101,1.287783464765719
2025-10-30 13:49:12.086270094,1.487216408972396
2025-10-30 13:49:12.211250067,1.8387310441272398
2025-10-30 13:49:12.336430073,1.9412541527544762
2025-10-30 13:49:12.461199999,1.2550106692097283
2025-10-30 13:49:12.586280107,1.0029307902237072
2025-10-30 13:49:12.711450100,1.571844755196422
2025-10-30 13:49:12.836440086,2.1855035326127936
2025-10-30 13:49:12.961420059,2.207791905167978
2025-10-30 13:49:13.086410046,1.9107511523461134
2025-10-30 13:49:13.211390018,1.5345861959776
2025-10-30 13:49:13.336380005,1.160829470915302
2025-10-30 13:49:13.461359978,0.9931523888098697
2025-10-30 13:49:13.586440086,0.8181064134029261
2025-10-30 13:49:13.711220026,0.9280694185497387
2025-10-30 13:49:13.836090088,1.5600477165924276
2025-10-30 13:49:13.961070061,1.8178488663155568
2025-10-30 13:49:14.086050034,1.2362423540986
2025-10-30 13:49:14.210920095,2.2190132267519274
2025-10-30 13:49:14.335999966,2.8571551846825716
2025-10-30 13:49:14.461070061,3.0009937398391466
2025-10-30 13:49:14.586050034,3.0612510399129294
2025-10-30 13:49:14.710930109,2.469912034347124
2025-10-30 13:49:14.835799932,1.9715634210024162
2025-10-30 13:49:14.960779905,1.7937496844716103
2025-10-30 13:49:15.085760117,1.7814134348423298
2025-10-30 13:49:15.210730076,1.8656701242541507
2025-10-30 13:49:15.335710049,2.4012977366506973
2025-10-30 13:49:15.460589886,3.2081379399383274
2025-10-30 13:49:15.585659981,3.809058769983046
2025-10-30 13:49:15.710740089,3.5515105216031673
2025-10-30 13:49:15.835720062,2.396024201681611
2025-10-30 13:49:15.960599899,1.7635440152708135
2025-10-30 13:49:16.085669994,3.8147017544495525
2025-10-30 13:49:16.210550070,3.9287534844496474
2025-10-30 13:49:16.335619926,3.21443723200765
2025-10-30 13:49:16.460599899,2.1338705754485807
2025-10-30 13:49:16.585580111,1.2547538599492332
2025-10-30 13:49:16.710449934,2.6192286787153605
2025-10-30 13:49:16.835330009,4.175882077608753
2025-10-30 13:49:16.960510015,3.9375360828627977
2025-10-30 13:49:17.085580111,2.6241285232148974
2025-10-30 13:49:17.210360050,2.3019510558061396
2025-10-30 13:49:17.335439920,2.1177335596334466
2025-10-30 13:49:17.460410118,1.6285790146081336
2025-10-30 13:49:17.585390091,1.6391480590957155
2025-10-30 13:49:17.710360050,1.8630321850739044
2025-10-30 13:49:17.835340023,2.4105431728545645
2025-10-30 13:49:17.960419893,2.5728993755598473
2025-10-30 13:49:18.085489988,2.2415443858067476
2025-10-30 13:49:18.210370064,1.535592989567467
2025-10-30 13:49:18.335449934,0.9816762362363927
2025-10-30 13:49:18.460319996,1.0321135565795316
2025-10-30 13:49:18.585400105,1.2036123081944823
2025-10-30 13:49:18.710279942,1.076788374630085
2025-10-30 13:49:18.835249901,0.9935486196643825
2025-10-30 13:49:18.960429907,0.8951421181446553
2025-10-30 13:49:19.085410118,1.015963575569026
2025-10-30 13:49:19.210279942,1.2106113944443526
2025-10-30 13:49:19.335459948,1.6505104867060074
2025-10-30 13:49:19.460540056,2.3716040432325016
2025-10-30 13:49:19.585710049,2.6826210191783986
2025-10-30 13:49:19.710890055,2.8975245303553514
2025-10-30 13:49:19.835669994,2.6262728743655908
2025-10-30 13:49:19.960639954,2.0164342782737172
2025-10-30 13:49:20.085520029,1.7626527430423582
2025-10-30 13:49:20.210200071,2.318906254837989
2025-10-30 13:49:20.335170031,3.5264917709535704
2025-10-30 13:49:20.459949970,3.5861374435165967
2025-10-30 13:49:20.585330009,2.716694174354283
2025-10-30 13:49:20.710099936,1.6876803070332957
2025-10-30 13:49:20.835079908,1.2106325637736866
2025-10-30 13:49:20.959959984,1.3678885978609514
2025-10-30 13:49:21.085030079,1.4015528941046071
2025-10-30 13:49:21.210109949,1.128197111180156
2025-10-30 13:49:21.335190058,1.0773029805290384
2025-10-30 13:49:21.460160017,1.3925874407433092
2025-10-30 13:49:21.585139990,1.5038668213927724
2025-10-30 13:49:21.710319996,1.1819520054656407
2025-10-30 13:49:21.835089922,0.9243509260827296
2025-10-30 13:49:21.960170031,1.069938350575046
2025-10-30 13:49:22.085150003,1.270497990348371
2025-10-30 13:49:22.210119963,1.3108340513018801
2025-10-30 13:49:22.335099936,1.2095098877025567
2025-10-30 13:49:22.460180044,1.1091367269980736
2025-10-30 13:49:22.585350037,1.4348483858327155
2025-10-30 13:49:22.710230112,2.206911666247655
2025-10-30 13:49:22.835109949,3.2130456519666817
2025-10-30 13:49:22.960180044,3.8199102510032223
2025-10-30 13:49:23.085360050,2.9319786865753725
2025-10-30 13:49:23.210540056,1.6163884112891933
2025-10-30 13:49:23.335520029,1.474381578209827
2025-10-30 13:49:23.460489988,2.8336739566434765
2025-10-30 13:49:23.585269928,3.56680143154809
2025-10-30 13:49:23.710150003,3.14485877121235
2025-10-30 13:49:23.835220098,1.9556047955660039
2025-10-30 13:49:23.960099936,2.224371825167108
