Time,v_l2_regional
2025-10-31 17:27:31.501529931,2.263071787127621
2025-10-31 17:27:31.626620054,3.3738896808471663
2025-10-31 17:27:31.751509905,4.822527726997199
2025-10-31 17:27:31.876600027,5.426304350457453
2025-10-31 17:27:32.001499891,4.424485940335724
2025-10-31 17:27:32.126490116,2.4069014248515144
2025-10-31 17:27:32.251379966,2.815133273093789
2025-10-31 17:27:32.376369953,6.210903079611129
2025-10-31 17:27:32.501270055,9.030370794215264
2025-10-31 17:27:32.626359940,9.867107523656285
2025-10-31 17:27:32.751250029,8.18053659810466
2025-10-31 17:27:32.876240015,4.770249258222916
2025-10-31 17:27:33.001140118,2.976119623974229
2025-10-31 17:27:33.126230001,6.644027437751917
2025-10-31 17:27:33.251120090,8.786360508489105
2025-10-31 17:27:33.376209974,8.48458958978889
2025-10-31 17:27:33.501110077,6.483296991149486
2025-10-31 17:27:33.626199961,2.835484775413986
2025-10-31 17:27:33.751090050,4.163787511954319
2025-10-31 17:27:33.876179934,2.845685003718437
2025-10-31 17:27:34.001080036,2.1309782293313093
2025-10-31 17:27:34.126169919,2.0443237599496675
2025-10-31 17:27:34.251060008,2.0443114599548546
2025-10-31 17:27:34.376149893,2.8111288741631
2025-10-31 17:27:34.500940084,3.5541923790598338
2025-10-31 17:27:34.626039982,3.5640252384542674
2025-10-31 17:27:34.751029968,2.443241665533109
2025-10-31 17:27:34.876120090,1.3998591318744364
2025-10-31 17:27:35.001110077,0.7714192845249592
2025-10-31 17:27:35.126209974,1.473007068134009
2025-10-31 17:27:35.251100062,2.5026168792998966
2025-10-31 17:27:35.376189947,2.6671414199801067
2025-10-31 17:27:35.500979900,2.415161467751017
2025-10-31 17:27:35.626080036,1.9766630152496276
2025-10-31 17:27:35.751070023,1.2158326090332097
2025-10-31 17:27:35.876159906,1.2226606701893001
2025-10-31 17:27:36.001149893,1.786856850855294
2025-10-31 17:27:36.126250029,2.231526460482488
2025-10-31 17:27:36.251140118,2.41139020436656
2025-10-31 17:27:36.376230001,2.8212437669670183
2025-10-31 17:27:36.501019954,3.539741595745231
2025-10-31 17:27:36.626110077,3.837848752009842
2025-10-31 17:27:36.751009941,4.652982419370451
2025-10-31 17:27:36.876100063,4.856246667118624
2025-10-31 17:27:37.000989913,4.2824997279297925
2025-10-31 17:27:37.126080036,3.1440913653552998
2025-10-31 17:27:37.251080036,2.340180569354584
2025-10-31 17:27:37.376169920,2.9666086366334627
2025-10-31 17:27:37.501060009,3.355484888892587
2025-10-31 17:27:37.626149893,2.647179148968955
2025-10-31 17:27:37.751049995,2.7147786644140073
2025-10-31 17:27:37.876140118,3.2636900080777824
2025-10-31 17:27:38.001029968,4.394522307035941
2025-10-31 17:27:38.126120089,7.08826457733291
2025-10-31 17:27:38.251019955,5.029697891883518
2025-10-31 17:27:38.376110077,6.317618905313694
2025-10-31 17:27:38.500900030,5.489574621778518
2025-10-31 17:27:38.625989914,3.6048160085683656
2025-10-31 17:27:38.750790119,2.2242838970774943
2025-10-31 17:27:38.875880003,2.7400704213829035
2025-10-31 17:27:39.000669956,3.977238189035924
2025-10-31 17:27:39.125760078,4.258808373316942
2025-10-31 17:27:39.250560045,4.045075224622128
2025-10-31 17:27:39.375750065,3.9097043271998526
2025-10-31 17:27:39.500540018,5.099217546363511
2025-10-31 17:27:39.625730038,5.705177685088761
2025-10-31 17:27:39.750619888,5.896894668747504
2025-10-31 17:27:39.875720024,4.419935074294586
2025-10-31 17:27:40.000509977,3.3736211977032946
