Time,v_cos_regional
2025-10-31 17:27:31.501529931,0.0013267058602031145
2025-10-31 17:27:31.626620054,0.00326232624004974
2025-10-31 17:27:31.751509905,0.007812006311716746
2025-10-31 17:27:31.876600027,0.018103764663000343
2025-10-31 17:27:32.001499891,0.019352045546153773
2025-10-31 17:27:32.126490116,0.006441941158250586
2025-10-31 17:27:32.251379966,0.0030377853775641617
2025-10-31 17:27:32.376369953,0.009918017682160718
2025-10-31 17:27:32.501270055,0.011706437461008856
2025-10-31 17:27:32.626359940,0.007714138439615437
2025-10-31 17:27:32.751250029,0.0037595432990737976
2025-10-31 17:27:32.876240015,0.0017900626135800568
2025-10-31 17:27:33.001140118,0.0005556041424783498
2025-10-31 17:27:33.126230001,0.0015321741082815477
2025-10-31 17:27:33.251120090,0.0037697509543993535
2025-10-31 17:27:33.376209974,0.007208746316169745
2025-10-31 17:27:33.501110077,0.009673910366241989
2025-10-31 17:27:33.626199961,0.005500687158961903
2025-10-31 17:27:33.751090050,0.012645092770403044
2025-10-31 17:27:33.876179934,0.007361399566635174
2025-10-31 17:27:34.001080036,0.004018289682594656
2025-10-31 17:27:34.126169919,0.0031159584896993664
2025-10-31 17:27:34.251060008,0.0012267029867403245
2025-10-31 17:27:34.376149893,0.0016270506651111516
2025-10-31 17:27:34.500940084,0.005026349933418661
2025-10-31 17:27:34.626039982,0.015759984478537326
2025-10-31 17:27:34.751029968,0.01791112493471625
2025-10-31 17:27:34.876120090,0.008992228550102954
2025-10-31 17:27:35.001110077,0.0019263072158641759
2025-10-31 17:27:35.126209974,0.003194101080318368
2025-10-31 17:27:35.251100062,0.007561902872855186
2025-10-31 17:27:35.376189947,0.004361121982637828
2025-10-31 17:27:35.500979900,0.0042705631758888085
2025-10-31 17:27:35.626080036,0.002526552570652041
2025-10-31 17:27:35.751070023,0.0014690157879960752
2025-10-31 17:27:35.876159906,0.00186811517456964
2025-10-31 17:27:36.001149893,0.0039343276925124515
2025-10-31 17:27:36.126250029,0.0062852044920871375
2025-10-31 17:27:36.251140118,0.0072533450911344
2025-10-31 17:27:36.376230001,0.013249215605301345
2025-10-31 17:27:36.501019954,0.015157340645828632
2025-10-31 17:27:36.626110077,0.008280602201768739
2025-10-31 17:27:36.751009941,0.005657512129093378
2025-10-31 17:27:36.876100063,0.005096358275586965
2025-10-31 17:27:37.000989913,0.004085328456284065
2025-10-31 17:27:37.126080036,0.003233132133560801
2025-10-31 17:27:37.251080036,0.0022325100927973462
2025-10-31 17:27:37.376169920,0.0031845670385575175
2025-10-31 17:27:37.501060009,0.004942806078675699
2025-10-31 17:27:37.626149893,0.0029600012004947773
2025-10-31 17:27:37.751049995,0.0038492371931599934
2025-10-31 17:27:37.876140118,0.005337663305624352
2025-10-31 17:27:38.001029968,0.011721379711375879
2025-10-31 17:27:38.126120089,0.024575682141630084
2025-10-31 17:27:38.251019955,0.012701931149295409
2025-10-31 17:27:38.376110077,0.015893112947768184
2025-10-31 17:27:38.500900030,0.00912489891965318
2025-10-31 17:27:38.625989914,0.0033632416369883122
2025-10-31 17:27:38.750790119,0.0016276076229774228
2025-10-31 17:27:38.875880003,0.0019910591542475764
2025-10-31 17:27:39.000669956,0.003956713114421029
2025-10-31 17:27:39.125760078,0.005669316104577327
2025-10-31 17:27:39.250560045,0.007167417095875539
2025-10-31 17:27:39.375750065,0.00728314910539829
2025-10-31 17:27:39.500540018,0.010336293173175859
2025-10-31 17:27:39.625730038,0.010155659490087232
2025-10-31 17:27:39.750619888,0.004285624235027652
2025-10-31 17:27:39.875720024,0.001350710169460645
2025-10-31 17:27:40.000509977,0.0011866477618031057
2025-10-31 17:27:40.125799894,0.0013730874097275247
2025-10-31 17:27:40.250590086,0.0016944451014315742
2025-10-31 17:27:40.375689983,0.0034108537737513878
2025-10-31 17:27:40.500580072,0.003465494595660479
2025-10-31 17:27:40.625770092,0.0035660031220314803
2025-10-31 17:27:40.750659943,0.0030317807312025824
2025-10-31 17:27:40.875760078,0.0019925908265062686
2025-10-31 17:27:41.000750065,0.004369753812320298
2025-10-31 17:27:41.125839949,0.0035036272148106784
2025-10-31 17:27:41.250629902,0.0035617184005442004
2025-10-31 17:27:41.375829935,0.0018341220334138209
2025-10-31 17:27:41.500619888,0.004964513036118556
2025-10-31 17:27:41.625610113,0.0050514517150411775
2025-10-31 17:27:41.750499964,0.0045729882316074555
2025-10-31 17:27:41.875689983,0.006690307446338806
2025-10-31 17:27:42.000489949,0.0032678939164709764
2025-10-31 17:27:42.125780106,0.003929972706202767
2025-10-31 17:27:42.250469922,0.0032780520004366265
2025-10-31 17:27:42.375659943,0.0022606031570292506
2025-10-31 17:27:42.500560044,0.007179884224559285
2025-10-31 17:27:42.625649929,0.010078599033431335
2025-10-31 17:27:42.750439882,0.00733390350334151
2025-10-31 17:27:42.875530005,0.003924550026519147
2025-10-31 17:27:43.000430107,0.0019665004929861896
2025-10-31 17:27:43.125619888,0.001156145138469289
2025-10-31 17:27:43.250509977,0.00245156762546328
2025-10-31 17:27:43.375499964,0.005060569048489061
2025-10-31 17:27:43.500400066,0.007892948212664619
2025-10-31 17:27:43.625890017,0.01321074816258172
2025-10-31 17:27:43.750580072,0.012039075826912327
2025-10-31 17:27:43.875669956,0.008389050545906107
2025-10-31 17:27:44.000560045,0.0019033894275425345
2025-10-31 17:27:44.125760078,0.0013787829054000555
2025-10-31 17:27:44.250449896,0.0045905898412382795
2025-10-31 17:27:44.375639915,0.009234596462055489
2025-10-31 17:27:44.500730038,0.006354660160679204
